AN_BASE,ID_TIPO_PRODUCAO,ID_SUBTIPO_PRODUCAO,QT_ANO_EGRESSO_M,QT_ANO_EGRESSO_F,QT_ANO_EGRESSO_D,CD_PROGRAMA_IES,NM_PROGRAMA_IES,SG_ENTIDADE_ENSINO,NM_ENTIDADE_ENSINO,ID_ADD_PRODUCAO_INTELECTUAL,NR_ORDEM,ID_PESSOA_DISCENTE,ID_PESSOA_DOCENTE,ID_PARTICIPANTE_PPG_IES,ID_PESSOA_PART_EXTERNO,ID_PESSOA_POS_DOC,ID_PESSOA_EGRESSO,NM_AUTOR,TP_AUTOR,NM_TP_CATEGORIA_DOCENTE,NM_NIVEL_DISCENTE,NM_ABNT_AUTOR,CD_AREA_CONHECIMENTO,NM_AREA_CONHECIMENTO,ID_NATUREZA_ATUACAO,NM_NATUREZA_ATUACAO,ID_PAIS,NM_PAIS,IN_GLOSA
2019,2,8,,,,30001013007P0,INFORMÁTICA,UFES,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,26719135,1,,29754,,,,,GERALDO REGIS MAURI,DOCENTE,PERMANENTE,,"MAURI, G. R.",,,,,,,0
2019,2,8,,,,30001013007P0,INFORMÁTICA,UFES,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,26719137,2,,,160652,538046,,,ANDREA MARIA PEDROSA VALLI,PARTICIPANTE EXTERNO,,,"VALLI, A. M. P.",,,,,,,0
2019,2,8,8,,,30001013007P0,INFORMÁTICA,UFES,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,26719137,1,232206,,,,,,LEANDRO MUNIZ DE LIMA,DISCENTE,,DOUTORADO,"LIMA, L. M.",,,,,,,0
2019,2,8,,,,30001013007P0,INFORMÁTICA,UFES,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,26719137,3,,517176,,,,,LUCIA CATABRIGA,DOCENTE,PERMANENTE,,"CATABRIGA, L.",,,,,,,0
2019,2,8,,,,30001013007P0,INFORMÁTICA,UFES,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,26719144,1,,,2893751,148373,,,RICARDO EMANUEL VAZ VARGAS,PARTICIPANTE EXTERNO,,,"VARGAS, R. E. V.",,,,,,,0
2019,2,8,,,,30001013007P0,INFORMÁTICA,UFES,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,26719144,2,,24113,,,,,CELSO JOSE MUNARO,DOCENTE,PERMANENTE,,"MUNARO, C. J.",,,,,,,0
2019,2,8,,,,30001013007P0,INFORMÁTICA,UFES,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,26719144,3,,,160717,213104,,,PATRICK MARQUES CIARELLI,PARTICIPANTE EXTERNO,,,"CIARELLI, P. M.",,,,,,,0
2019,2,8,,,,30001013007P0,INFORMÁTICA,UFES,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,26719146,4,,,836041,443793,,,RODRIGO DE ALVARENGA ROSA,PARTICIPANTE EXTERNO,,,"ROSA, R.",,,,,,,0
2019,2,8,,,,30001013007P0,INFORMÁTICA,UFES,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,26719146,2,,29754,,,,,GERALDO REGIS MAURI,DOCENTE,PERMANENTE,,"MAURI, G. R.",,,,,,,0
2019,2,8,,,,30001013007P0,INFORMÁTICA,UFES,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,26719146,3,,520737,,,,,MARIA CLAUDIA SILVA BOERES,DOCENTE,PERMANENTE,,"BOERES, M. C. S.",,,,,,,0
2019,2,8,3,,,30001013007P0,INFORMÁTICA,UFES,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,26719146,1,644014,,,,,,ANDRE MANHAES MACHADO,DISCENTE,,DOUTORADO,"MACHADO, ANDRE MANHAES",,,,,,,0
2019,2,8,,,,30001013007P0,INFORMÁTICA,UFES,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,26719150,2,,521922,,,,,RENATO ANTONIO KROHLING,DOCENTE,PERMANENTE,,"KROHLING, R. A.",,,,,,,0
2019,2,8,,,,30001013007P0,INFORMÁTICA,UFES,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,26719150,1,2709147,,,,,,ANTONIO ELOY DE OLIVEIRA ARAUJO,DISCENTE,,MESTRADO,"ARAUJO, A. E. O.",,,,,,,0
2019,2,8,,,,30001013007P0,INFORMÁTICA,UFES,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,26719151,1,208590,,,,,,EDMAR HELL KAMPKE,DISCENTE,,DOUTORADO,"KAMPKE, E. H.",,,,,,,0
2019,2,8,,,,30001013007P0,INFORMÁTICA,UFES,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,26719151,3,,29754,,,,,GERALDO REGIS MAURI,DOCENTE,PERMANENTE,,"MAURI, G. R.",,,,,,,0
2019,2,8,,,,30001013007P0,INFORMÁTICA,UFES,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,26719151,4,,520737,,,,,MARIA CLAUDIA SILVA BOERES,DOCENTE,PERMANENTE,,"BOERES, M. C. S.",,,,,,,0
2019,2,8,,,,30001013007P0,INFORMÁTICA,UFES,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,26719151,2,,,,,,,LEONARDO MORELI SCHEIDEGER,-,,,"SCHEIDEGER, L. M.",10300007,CIĘNCIA DA COMPUTAÇĂO,2,ATUAÇĂO EM ENTIDADES EMPRESARIAIS DE SETORES PRODUTIVOS E DE SERVIÇOS,31,BRASIL,0
2019,2,8,,,,30001013007P0,INFORMÁTICA,UFES,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,26719154,4,,26441,,,,,ISAAC PINHEIRO DOS SANTOS,DOCENTE,PERMANENTE,,"SANTOS, I. P.",,,,,,,0
2019,2,8,,,,30001013007P0,INFORMÁTICA,UFES,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,26719154,6,,517176,,,,,LUCIA CATABRIGA,DOCENTE,PERMANENTE,,"CATABRIGA, L.",,,,,,,0
2019,2,8,,,,30001013007P0,INFORMÁTICA,UFES,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,26719154,2,,,,,,202987,SERGIO SOUZA BENTO,EGRESSO,,,"BENTO, S. S.",,,,,,,0
2019,2,8,,,,30001013007P0,INFORMÁTICA,UFES,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,26719154,5,,,160652,538046,,,ANDREA MARIA PEDROSA VALLI,PARTICIPANTE EXTERNO,,,"VALLI, A. M. P.",,,,,,,0
2019,2,8,8,,,30001013007P0,INFORMÁTICA,UFES,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,26719154,3,232206,,,,,,LEANDRO MUNIZ DE LIMA,DISCENTE,,DOUTORADO,"LIMA, L. M.",,,,,,,0
