AN_BASE,ID_TIPO_PRODUCAO,ID_SUBTIPO_PRODUCAO,QT_ANO_EGRESSO_M,QT_ANO_EGRESSO_F,QT_ANO_EGRESSO_D,CD_PROGRAMA_IES,NM_PROGRAMA_IES,SG_ENTIDADE_ENSINO,NM_ENTIDADE_ENSINO,ID_ADD_PRODUCAO_INTELECTUAL,NR_ORDEM,ID_PESSOA_DISCENTE,ID_PESSOA_DOCENTE,ID_PARTICIPANTE_PPG_IES,ID_PESSOA_PART_EXTERNO,ID_PESSOA_POS_DOC,ID_PESSOA_EGRESSO,NM_AUTOR,TP_AUTOR,NM_TP_CATEGORIA_DOCENTE,NM_NIVEL_DISCENTE,NM_ABNT_AUTOR,CD_AREA_CONHECIMENTO,NM_AREA_CONHECIMENTO,ID_NATUREZA_ATUACAO,NM_NATUREZA_ATUACAO,ID_PAIS,NM_PAIS,IN_GLOSA
2019,2,8,,,,42001013078P8,MICROELETRÔNICA,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26377028,2,,45110,,,,,TIAGO ROBERTO BALEN,DOCENTE,PERMANENTE,,"BALEN, TIAGO ROBERTO",,,,,,,0
2019,2,8,,,,42001013078P8,MICROELETRÔNICA,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26377028,5,,,1828795,10398,,,LETICIA MARIA BOLZANI POEHLS,PARTICIPANTE EXTERNO,,,LETÍCIA MARIA BOLZANI PÖHLS,,,,,,,0
2019,2,8,,,,42001013078P8,MICROELETRÔNICA,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26377028,3,,,2200918,3110451,,,EDUARDO LONGO DE BRUM,PARTICIPANTE EXTERNO,,,"BRUM, E. L.",,,,,,,0
2019,2,8,,,,42001013078P8,MICROELETRÔNICA,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26377028,4,,,2520026,3259462,,,CAROLINE OLIVEIRA AQUISTAPACE,PARTICIPANTE EXTERNO,,,"AQUISTAPACE, C. O.",,,,,,,0
2019,2,8,,,,42001013078P8,MICROELETRÔNICA,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26377028,1,822229,,,,,,THIAGO SANTOS COPETTI,DISCENTE,,DOUTORADO,"COPETTI, T. S.",,,,,,,0
2019,2,8,,,,42001013078P8,MICROELETRÔNICA,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26377029,4,,,2119919,2493320,,,RAFAEL FAO DE MOURA,PARTICIPANTE EXTERNO,,,"MOURA, R. F.",,,,,,,0
2019,2,8,,,,42001013078P8,MICROELETRÔNICA,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26377029,7,,,1973698,17410,,,LUIGI CARRO,PARTICIPANTE EXTERNO,,,"CARRO, L",,,,,,,0
2019,2,8,,,,42001013078P8,MICROELETRÔNICA,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26377029,5,,,2117696,318328,,,MARCO ANTONIO ZANATA ALVES,PARTICIPANTE EXTERNO,,,"ALVES, M. A. Z.",,,,,,,0
2019,2,8,,,,42001013078P8,MICROELETRÔNICA,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26377029,3,,,2117694,2150394,,,JOAO PAULO CARDOSO DE LIMA,PARTICIPANTE EXTERNO,,,"LIMA, J. P. C.",,,,,,,0
2019,2,8,,,,42001013078P8,MICROELETRÔNICA,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26377029,6,,473438,,,,,ANTONIO CARLOS SCHNEIDER BECK FILHO,DOCENTE,PERMANENTE,,"BECK FILHO, A. C.",,,,,,,0
2019,2,8,,,,42001013078P8,MICROELETRÔNICA,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26377029,1,,,2647425,3562501,,,AHMED HAMEEZA,PARTICIPANTE EXTERNO,,,"AHMED, HAMEEZA",,,,,,,0
2019,2,8,5,,0,42001013078P8,MICROELETRÔNICA,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26377029,2,466718,,,,,,PAULO CESAR SANTOS DA SILVA JUNIOR,DISCENTE,,DOUTORADO,"JUNIOR, P. C. S. S.",,,,,,,0
2019,2,8,,,,42001013078P8,MICROELETRÔNICA,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26377033,1,,,,,661019,,ARTHUR LIRANETO TORRES COSTA,PÓS-DOC,,,"COSTA, A. L. T.",,,,,,,0
2019,2,8,,,,42001013078P8,MICROELETRÔNICA,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26377033,2,,349181,,,,,HAMILTON DUARTE KLIMACH,DOCENTE,PERMANENTE,,"KLIMACH, H. D.",,,,,,,0
2019,2,8,,,,42001013078P8,MICROELETRÔNICA,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26377033,3,,21446,,,,,SERGIO BAMPI,DOCENTE,PERMANENTE,,"BAMPI, S.",,,,,,,0
2019,2,8,,,,42001013078P8,MICROELETRÔNICA,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26377036,5,,21446,,,,,SERGIO BAMPI,DOCENTE,PERMANENTE,,"BAMPI, S.",,,,,,,0
2019,2,8,,,,42001013078P8,MICROELETRÔNICA,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26377036,4,,349181,,,,,HAMILTON DUARTE KLIMACH,DOCENTE,PERMANENTE,,"KLIMACH, H. D.",,,,,,,0
2019,2,8,5,,,42001013078P8,MICROELETRÔNICA,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26377036,3,,,1184348,660999,,,DAVID JAVIER CORDOVA VIVAS,PARTICIPANTE EXTERNO,,,"VIVAS, D. J. C.",,,,,,,0
2019,2,8,,,,42001013078P8,MICROELETRÔNICA,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26377036,6,,,2565226,3481666,,,PAOLO STEFANO CROVETTI,PARTICIPANTE EXTERNO,,,"CROVETTI, P. S.",,,,,,,0
