AN_BASE,ID_TIPO_PRODUCAO,ID_SUBTIPO_PRODUCAO,QT_ANO_EGRESSO_M,QT_ANO_EGRESSO_F,QT_ANO_EGRESSO_D,CD_PROGRAMA_IES,NM_PROGRAMA_IES,SG_ENTIDADE_ENSINO,NM_ENTIDADE_ENSINO,ID_ADD_PRODUCAO_INTELECTUAL,NR_ORDEM,ID_PESSOA_DISCENTE,ID_PESSOA_DOCENTE,ID_PARTICIPANTE_PPG_IES,ID_PESSOA_PART_EXTERNO,ID_PESSOA_POS_DOC,ID_PESSOA_EGRESSO,NM_AUTOR,TP_AUTOR,NM_TP_CATEGORIA_DOCENTE,NM_NIVEL_DISCENTE,NM_ABNT_AUTOR,CD_AREA_CONHECIMENTO,NM_AREA_CONHECIMENTO,ID_NATUREZA_ATUACAO,NM_NATUREZA_ATUACAO,ID_PAIS,NM_PAIS,IN_GLOSA
2019,2,8,,,,31001017004P3,ENGENHARIA DE SISTEMAS E COMPUTAÇÃO,UFRJ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,26107920,4,,,2622932,29754,,,GERALDO REGIS MAURI,PARTICIPANTE EXTERNO,,,"MAURI, G. R.",,,,,,,0
2019,2,8,,,11,31001017004P3,ENGENHARIA DE SISTEMAS E COMPUTAÇÃO,UFRJ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,26107920,5,,189605,,,,,LUIDI GELABERT SIMONETTI,DOCENTE,PERMANENTE,,"SIMONETTI, L.",,,,,,,0
2019,2,8,,,,31001017004P3,ENGENHARIA DE SISTEMAS E COMPUTAÇÃO,UFRJ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,26107920,1,560317,,,,,,FRANCISCO GLAUBOS NUNES CLIMACO,DISCENTE,,DOUTORADO,"CLIMACO, GLAUBOS",,,,,,,0
2019,2,8,,,,31001017004P3,ENGENHARIA DE SISTEMAS E COMPUTAÇÃO,UFRJ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,26107920,3,,,1507198,192048,,,GLAYDSTON MATTOS RIBEIRO,PARTICIPANTE EXTERNO,,,"RIBEIRO, G. M.",,,,,,,0
2019,2,8,,,,31001017004P3,ENGENHARIA DE SISTEMAS E COMPUTAÇÃO,UFRJ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,26107920,2,,,1484650,227802,,,PEDRO HENRIQUE GONZALEZ SILVA,PARTICIPANTE EXTERNO,,,"SILVA, P. H. G.",,,,,,,0
2019,2,8,,,,31001017004P3,ENGENHARIA DE SISTEMAS E COMPUTAÇÃO,UFRJ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,26107924,2,,,,,,,VANESSA S. SOARES,-,,,"SOARES, V. S.",10100008,MATEMÁTICA,4,PESSOA FÍSICA,31,BRASIL,0
2019,2,8,9,,3,31001017004P3,ENGENHARIA DE SISTEMAS E COMPUTAÇÃO,UFRJ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,26107924,5,,,2617606,193911,,,NATALIA CHAVES LESSA SCHOTS,PARTICIPANTE EXTERNO,,,"SCHOTS, N. C. L.",,,,,,,0
2019,2,8,,,,31001017004P3,ENGENHARIA DE SISTEMAS E COMPUTAÇÃO,UFRJ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,26107924,1,3399785,,,,,,PATRICIA DE CASTRO WANG,DISCENTE,,MESTRADO,"WANG, P. C.",,,,,,,0
2019,2,8,,,,31001017004P3,ENGENHARIA DE SISTEMAS E COMPUTAÇÃO,UFRJ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,26107924,4,,,,,,519786,MARIA GILDA PIMENTEL ESTEVES,EGRESSO,,,"ESTEVES, M. G. P.",,,,,,,0
2019,2,8,,,,31001017004P3,ENGENHARIA DE SISTEMAS E COMPUTAÇÃO,UFRJ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,26107924,6,,,,,,214148,FELLIPE RIBEIRO DUARTE,EGRESSO,,,"DUARTE, F. R.",,,,,,,0
