AN_BASE,ID_TIPO_PRODUCAO,ID_SUBTIPO_PRODUCAO,QT_ANO_EGRESSO_M,QT_ANO_EGRESSO_F,QT_ANO_EGRESSO_D,CD_PROGRAMA_IES,NM_PROGRAMA_IES,SG_ENTIDADE_ENSINO,NM_ENTIDADE_ENSINO,ID_ADD_PRODUCAO_INTELECTUAL,NR_ORDEM,ID_PESSOA_DISCENTE,ID_PESSOA_DOCENTE,ID_PARTICIPANTE_PPG_IES,ID_PESSOA_PART_EXTERNO,ID_PESSOA_POS_DOC,ID_PESSOA_EGRESSO,NM_AUTOR,TP_AUTOR,NM_TP_CATEGORIA_DOCENTE,NM_NIVEL_DISCENTE,NM_ABNT_AUTOR,CD_AREA_CONHECIMENTO,NM_AREA_CONHECIMENTO,ID_NATUREZA_ATUACAO,NM_NATUREZA_ATUACAO,ID_PAIS,NM_PAIS,IN_GLOSA
2019,2,8,,,,53001010098P3,COMPUTAÇÃO APLICADA,UNB,UNIVERSIDADE DE BRASÍLIA,26709593,2,,357472,,,,,EDNA DIAS CANEDO,DOCENTE,PERMANENTE,,"CANEDO, E. D.",,,,,,,0
2019,2,8,,0,,53001010098P3,COMPUTAÇÃO APLICADA,UNB,UNIVERSIDADE DE BRASÍLIA,26709593,1,2002433,,,,,,VINICIUS GOMES FERREIRA,DISCENTE,,MESTRADO PROFISSIONAL,"FERREIRA, V. G.",,,,,,,0
2019,2,8,,,,53001010098P3,COMPUTAÇÃO APLICADA,UNB,UNIVERSIDADE DE BRASÍLIA,26709594,2,,398733,,,,,PRISCILA AMERICA SOLIS MENDEZ BARRETO,DOCENTE,PERMANENTE,,"BARRETO, P. A. S. M.",,,,,,,0
2019,2,8,,,,53001010098P3,COMPUTAÇÃO APLICADA,UNB,UNIVERSIDADE DE BRASÍLIA,26709594,4,,,,,,2651318,RODRIGO OTAVIO RIBEIRO HAGSTROM,EGRESSO,,,"HAGSTROM, R. O. R.",,,,,,,0
2019,2,8,,,,53001010098P3,COMPUTAÇÃO APLICADA,UNB,UNIVERSIDADE DE BRASÍLIA,26709594,1,,,,,,2651184,HEITOR MEDRADO DE FARIA,EGRESSO,,,"FARIAS, H. M.",,,,,,,0
2019,2,8,,,,53001010098P3,COMPUTAÇÃO APLICADA,UNB,UNIVERSIDADE DE BRASÍLIA,26709594,3,,535224,,,,,JACIR LUIZ BORDIM,DOCENTE,PERMANENTE,,"BORDIM, J. L.",,,,,,,0
2019,2,8,,,,53001010098P3,COMPUTAÇÃO APLICADA,UNB,UNIVERSIDADE DE BRASÍLIA,26709596,3,,58107,,,,,MARCOS FAGUNDES CAETANO,DOCENTE,PERMANENTE,,"CAETANO, M. F.",,,,,,,0
2019,2,8,,,,53001010098P3,COMPUTAÇÃO APLICADA,UNB,UNIVERSIDADE DE BRASÍLIA,26709596,2,,535224,,,,,JACIR LUIZ BORDIM,DOCENTE,PERMANENTE,,"BORDIM, J. L.",,,,,,,0
2019,2,8,,,,53001010098P3,COMPUTAÇÃO APLICADA,UNB,UNIVERSIDADE DE BRASÍLIA,26709596,1,,,2719446,1398118,,,PAULO VICTOR GONCALVES FARIAS,PARTICIPANTE EXTERNO,,,"FARIAS, P. V. G.",,,,,,,0
2019,2,8,,,,53001010098P3,COMPUTAÇÃO APLICADA,UNB,UNIVERSIDADE DE BRASÍLIA,26709597,2,,,2715605,873856,,,JOAHANNES BRUNO DIAS DA COSTA,PARTICIPANTE EXTERNO,,,"COSTA, J. B. D.",,,,,,,0
